시간,상품명,출연진,예상가격,카테고리
08:00-09:00,프로틴 쉐이크,정준호,39900-59900,건강식품
09:00-10:00,아이크림 세트,이지은,79900-119900,이미용
10:00-11:00,스테인리스 냄비 세트,김준호,149900-199900,리빙
11:00-12:00,유기농 꿀,박선미,34900-54900,일반식품
12:00-13:00,공기청정기,이재훈,179900-249900,리빙
13:00-14:00,립글로우 팔레트,최민영,49900-79900,이미용
14:00-15:00,관절 영양제,홍기준,89900-129900,건강식품
15:00-16:00,명품 스카프,서윤희,59900-89900,패션
16:00-17:00,요가복 세트,이서연,69900-99900,패션
17:00-18:00,프리미엄 초콜릿,박선준,44900-69900,일반식품
18:00-19:00,무선 헤드폰,김정호,99900-149900,리빙
19:00-20:00,토너 앰플,이민지,129900-179900,이미용
20:00-21:00,등산화,최준호,129900-189900,패션
21:00-22:00,루테인 비타민,홍미경,49900-74900,건강식품
22:00-23:00,아이마스크,박지나,24900-39900,이미용
