날짜,건강식품,일반식품,리빙,이미용,패션,렌탈여행
2026-05-01,8500000,6200000,12300000,18500000,22800000,4200000
2026-05-02,9200000,5800000,13100000,19200000,24100000,3800000
2026-05-03,7800000,4900000,11500000,17300000,20500000,5100000
2026-05-04,10200000,7100000,14800000,21200000,26700000,6300000
2026-05-05,6500000,5300000,9800000,14700000,18900000,3200000
2026-05-06,11300000,8200000,16200000,23400000,29500000,7100000
2026-05-07,9800000,6700000,13900000,20100000,25600000,5800000
2026-05-08,8200000,5900000,12400000,18800000,23300000,4500000
2026-05-09,7600000,4800000,10700000,16200000,21400000,3900000
2026-05-10,10800000,7500000,15300000,22100000,27800000,6800000
2026-05-11,9100000,6200000,13600000,19700000,24800000,5400000
2026-05-12,6800000,5400000,10200000,15400000,19600000,3500000
2026-05-13,11600000,8400000,16800000,24200000,30200000,7400000
2026-05-14,8900000,6500000,13200000,19300000,24500000,5200000
2026-05-15,7300000,5100000,11000000,16800000,21100000,4100000
2026-05-16,10500000,7300000,14900000,21500000,27200000,6600000
2026-05-17,9400000,6400000,13700000,20500000,25900000,5600000
2026-05-18,6200000,4700000,9600000,14300000,18500000,3100000
2026-05-19,12100000,8600000,17400000,25100000,31500000,7700000
2026-05-20,9700000,6900000,14200000,20800000,26200000,5900000
2026-05-21,8400000,5600000,12700000,19100000,23700000,4700000
2026-05-22,7900000,5200000,11300000,17100000,21800000,4200000
2026-05-23,10600000,7400000,15100000,21800000,27600000,6700000
2026-05-24,9300000,6300000,13400000,19600000,24900000,5300000
2026-05-25,6900000,5500000,10400000,15800000,20100000,3600000
2026-05-26,11900000,8500000,17100000,24700000,30800000,7600000
2026-05-27,9600000,6800000,14000000,20600000,26000000,5700000
2026-05-28,7700000,5000000,11600000,17600000,22300000,4400000
2026-05-29,10300000,7200000,14600000,21200000,27000000,6500000
2026-05-30,8700000,5700000,12900000,19400000,24200000,5000000
2026-05-31,9500000,6600000,13800000,20300000,25500000,5500000
