홈쇼핑사,시간,상품명,출연진,예상가격,카테고리
홈앤쇼핑,08:00-09:00,프리미엄 멀티비타민,김영희,49900-79900,건강식품
홈앤쇼핑,09:00-10:00,스킨톤 에센스,박준호,89900-129900,이미용
홈앤쇼핑,10:00-11:00,주방 칼 세트,이순신,39900-59900,리빙
홈앤쇼핑,11:00-12:00,유기농 발효 식초,홍길동,29900-49900,일반식품
홈앤쇼핑,12:00-13:00,무선 청소기,이하나,199900-299900,리빙
홈앤쇼핑,13:00-14:00,핸드크림 세트,박민지,59900-89900,이미용
홈앤쇼핑,14:00-15:00,건강 가전 영양식,김민준,99900-149900,건강식품
홈앤쇼핑,15:00-16:00,패션 가방 컬렉션,서연지,129900-189900,패션
홈앤쇼핑,16:00-17:00,슬림핏 청바지,최지은,79900-109900,패션
홈앤쇼핑,17:00-18:00,프리미엄 커피 세트,이준호,69900-99900,일반식품
홈앤쇼핑,18:00-19:00,LED 데스크 조명,박지원,89900-139900,리빙
홈앤쇼핑,19:00-20:00,올인원 스킨케어,김소현,119900-169900,이미용
홈앤쇼핑,20:00-21:00,스포츠 신발,이민준,99900-159900,패션
홈앤쇼핑,21:00-22:00,비타민 D3 서플,홍영미,39900-59900,건강식품
홈앤쇼핑,22:00-23:00,수면 안대 세트,박준성,19900-34900,이미용
GS홈쇼핑,08:00-09:00,프로틴 쉐이크,정준호,39900-59900,건강식품
GS홈쇼핑,09:00-10:00,아이크림 세트,이지은,79900-119900,이미용
GS홈쇼핑,10:00-11:00,스테인리스 냄비 세트,김준호,149900-199900,리빙
GS홈쇼핑,11:00-12:00,유기농 꿀,박선미,34900-54900,일반식품
GS홈쇼핑,12:00-13:00,공기청정기,이재훈,179900-249900,리빙
GS홈쇼핑,13:00-14:00,립글로우 팔레트,최민영,49900-79900,이미용
GS홈쇼핑,14:00-15:00,관절 영양제,홍기준,89900-129900,건강식품
GS홈쇼핑,15:00-16:00,명품 스카프,서윤희,59900-89900,패션
GS홈쇼핑,16:00-17:00,요가복 세트,이서연,69900-99900,패션
GS홈쇼핑,17:00-18:00,프리미엄 초콜릿,박선준,44900-69900,일반식품
GS홈쇼핑,18:00-19:00,무선 헤드폰,김정호,99900-149900,리빙
GS홈쇼핑,19:00-20:00,토너 앰플,이민지,129900-179900,이미용
GS홈쇼핑,20:00-21:00,등산화,최준호,129900-189900,패션
GS홈쇼핑,21:00-22:00,루테인 비타민,홍미경,49900-74900,건강식품
GS홈쇼핑,22:00-23:00,아이마스크,박지나,24900-39900,이미용
CJ온스타일,08:00-09:00,콜라겐 음료,이혜정,59900-89900,건강식품
CJ온스타일,09:00-10:00,BB크림,김하나,79900-119900,이미용
CJ온스타일,10:00-11:00,무선청소기,박재훈,189900-269900,리빙
CJ온스타일,11:00-12:00,곡물 시리얼,최성준,29900-49900,일반식품
CJ온스타일,12:00-13:00,정수기,홍지수,249900-349900,리빙
CJ온스타일,13:00-14:00,마스크팩,서지현,89900-139900,이미용
CJ온스타일,14:00-15:00,유산균 유제품,이민철,74900-119900,건강식품
CJ온스타일,15:00-16:00,프리미엄 지갑,박준영,99900-159900,패션
CJ온스타일,16:00-17:00,스포츠 바지,김유정,69900-99900,패션
CJ온스타일,17:00-18:00,프리미엄 잼 세트,이준희,54900-79900,일반식품
CJ온스타일,18:00-19:00,스마트 온도계,최지훈,79900-129900,리빙
CJ온스타일,19:00-20:00,에센스,홍소영,119900-169900,이미용
CJ온스타일,20:00-21:00,스니커즈,박민준,119900-179900,패션
CJ온스타일,21:00-22:00,칼슘 영양제,이은희,44900-69900,건강식품
CJ온스타일,22:00-23:00,시트마스크,최예은,19900-34900,이미용
롯데홈쇼핑,08:00-09:00,홍삼 액기스,박성호,69900-99900,건강식품
롯데홈쇼핑,09:00-10:00,에이징 크림,이지수,89900-139900,이미용
롯데홈쇼핑,10:00-11:00,샤워 부스,김준태,199900-299900,리빙
롯데홈쇼핑,11:00-12:00,유기농 양념,홍미정,24900-44900,일반식품
롯데홈쇼핑,12:00-13:00,식기세척기,이준성,289900-389900,리빙
롯데홈쇼핑,13:00-14:00,에센셜 오일,박은희,39900-74900,이미용
롯데홈쇼핑,14:00-15:00,오메가3,최미나,99900-149900,건강식품
롯데홈쇼핑,15:00-16:00,디자이너 벨트,서지훈,89900-139900,패션
롯데홈쇼핑,16:00-17:00,러닝 타이즈,김소영,59900-89900,패션
롯데홈쇼핑,17:00-18:00,프리미엄 차 세트,이수진,59900-89900,일반식품
롯데홈쇼핑,18:00-19:00,공기 가습기,박준호,119900-179900,리빙
롯데홈쇼핑,19:00-20:00,파우더,홍다원,99900-149900,이미용
롯데홈쇼핑,20:00-21:00,캐주얼 구두,최지영,99900-159900,패션
롯데홈쇼핑,21:00-22:00,비타민 B 복합,이혜진,44900-69900,건강식품
롯데홈쇼핑,22:00-23:00,립밤 세트,박민서,14900-29900,이미용
현대홈쇼핑,08:00-09:00,프리미엄 감,최준호,49900-74900,건강식품
현대홈쇼핑,09:00-10:00,세럼,김지은,99900-149900,이미용
현대홈쇼핑,10:00-11:00,식탁,박준영,149900-249900,리빙
현대홈쇼핑,11:00-12:00,유기농 된장,이영준,34900-54900,일반식품
현대홈쇼핑,12:00-13:00,냉장고,홍민준,549900-699900,리빙
현대홈쇼핑,13:00-14:00,쿠션,서미경,79900-119900,이미용
현대홈쇼핑,14:00-15:00,락토페린,김준희,99900-139900,건강식품
현대홈쇼핑,15:00-16:00,핸드백,박지수,119900-179900,패션
현대홈쇼핑,16:00-17:00,드로즈,최은지,74900-109900,패션
현대홈쇼핑,17:00-18:00,프리미엄 와인,이민호,49900-89900,일반식품
현대홈쇼핑,18:00-19:00,세탁기,홍소현,199900-299900,리빙
현대홈쇼핑,19:00-20:00,폼 클렌징,박지현,89900-139900,이미용
현대홈쇼핑,20:00-21:00,구부츠,이수빈,139900-199900,패션
현대홈쇼핑,21:00-22:00,철분 보충제,최혜진,54900-79900,건강식품
현대홈쇼핑,22:00-23:00,페이스팩,김은영,29900-49900,이미용
