시간,상품명,출연진,예상가격,카테고리
08:00-09:00,홍삼 액기스,박성호,69900-99900,건강식품
09:00-10:00,에이징 크림,이지수,89900-139900,이미용
10:00-11:00,샤워 부스,김준태,199900-299900,리빙
11:00-12:00,유기농 양념,홍미정,24900-44900,일반식품
12:00-13:00,식기세척기,이준성,289900-389900,리빙
13:00-14:00,에센셜 오일,박은희,39900-74900,이미용
14:00-15:00,오메가3,최미나,99900-149900,건강식품
15:00-16:00,디자이너 벨트,서지훈,89900-139900,패션
16:00-17:00,러닝 타이즈,김소영,59900-89900,패션
17:00-18:00,프리미엄 차 세트,이수진,59900-89900,일반식품
18:00-19:00,공기 가습기,박준호,119900-179900,리빙
19:00-20:00,파우더,홍다원,99900-149900,이미용
20:00-21:00,캐주얼 구두,최지영,99900-159900,패션
21:00-22:00,비타민 B 복합,이혜진,44900-69900,건강식품
22:00-23:00,립밤 세트,박민서,14900-29900,이미용
