날짜,건강식품,일반식품,리빙,이미용,패션
2026-05-01,5100000,3200000,8100000,10500000,14200000
2026-05-02,5600000,2900000,8700000,11200000,15100000
2026-05-03,4700000,2500000,7200000,9100000,12300000
2026-05-04,6200000,3600000,9400000,12500000,16100000
2026-05-05,3800000,2700000,6100000,7900000,10100000
2026-05-06,6800000,4100000,10200000,13800000,17600000
2026-05-07,5400000,3300000,8800000,10900000,13800000
2026-05-08,4900000,3000000,7900000,10100000,12700000
2026-05-09,4500000,2400000,6800000,8600000,11300000
2026-05-10,6500000,3800000,9700000,12800000,16700000
2026-05-11,5300000,3100000,8600000,10600000,14900000
2026-05-12,4100000,2700000,6500000,8200000,10500000
2026-05-13,7000000,4300000,10600000,14500000,18100000
2026-05-14,5300000,3300000,8400000,10600000,14600000
2026-05-15,4400000,2600000,7000000,9000000,11600000
2026-05-16,6300000,3700000,9500000,12700000,16400000
2026-05-17,5700000,3200000,8700000,11200000,15500000
2026-05-18,3700000,2400000,6100000,7700000,9900000
2026-05-19,7300000,4400000,11100000,15200000,19200000
2026-05-20,5800000,3500000,9000000,11600000,15700000
2026-05-21,5100000,2800000,8100000,10500000,13400000
2026-05-22,4700000,2600000,7200000,9200000,11900000
2026-05-23,6400000,3800000,9600000,13000000,16800000
2026-05-24,5600000,3200000,8500000,10700000,14400000
2026-05-25,4300000,2800000,6600000,8600000,10700000
2026-05-26,7200000,4400000,10800000,14800000,18700000
2026-05-27,5700000,3400000,8900000,11300000,15400000
2026-05-28,4600000,2500000,7300000,9300000,12200000
2026-05-29,6200000,3700000,9300000,12500000,16200000
2026-05-30,5200000,2900000,8100000,10400000,13900000
2026-05-31,5700000,3300000,8700000,11100000,14700000
