날짜,건강식품,패션,이미용
2026-05-01,3200000,6500000,5100000
2026-05-02,3800000,7200000,5600000
2026-05-03,2900000,5400000,4200000
2026-05-04,4200000,8100000,6300000
2026-05-05,2100000,3800000,2800000
2026-05-06,4600000,9300000,7100000
2026-05-07,3500000,6700000,4900000
2026-05-08,3100000,6100000,4700000
2026-05-09,2700000,5200000,3900000
2026-05-10,4400000,8400000,6600000
2026-05-11,3300000,6900000,4600000
2026-05-12,2400000,4100000,3100000
2026-05-13,4800000,9600000,7200000
2026-05-14,3200000,6800000,4500000
2026-05-15,2600000,5100000,3400000
2026-05-16,4100000,8200000,6100000
2026-05-17,3600000,7400000,5000000
2026-05-18,2100000,3600000,2700000
2026-05-19,5100000,10200000,7600000
2026-05-20,3700000,7500000,5300000
2026-05-21,3200000,6300000,4500000
2026-05-22,2800000,5100000,3800000
2026-05-23,4300000,8300000,6400000
2026-05-24,3400000,7200000,4700000
2026-05-25,2500000,4400000,3200000
2026-05-26,4900000,9800000,7400000
2026-05-27,3600000,7300000,5100000
2026-05-28,2800000,5300000,3700000
2026-05-29,4100000,8100000,6000000
2026-05-30,47436878,100994644,70390206
2026-05-31,60714285,125000000,87500000
